hour,t_out_c,ghi_w_m2,t_zone_c,u_hvac,kwh,cost_sar,e_cum_kwh,cop,violations
0.0,31.2,0.0,24.0,0,0.0,0.0,800.0,3.244,0
0.25,31.2,0.0,24.032,0,0.0,0.0,800.0,3.244,0
0.5,31.2,0.0,24.064,0,0.0,0.0,800.0,3.244,0
0.75,31.2,0.0,24.095,0,0.0,0.0,800.0,3.244,0
1.0,30.0,0.0,24.127,0,0.0,0.0,800.0,3.325,0
1.25,30.0,0.0,24.153,0,0.0,0.0,800.0,3.325,0
1.5,30.0,0.0,24.179,0,0.0,0.0,800.0,3.325,0
1.75,30.0,0.0,24.205,0,0.0,0.0,800.0,3.325,0
2.0,30.0,0.0,24.23,0,0.0,0.0,800.0,3.325,0
2.25,30.0,0.0,24.256,0,0.0,0.0,800.0,3.325,0
2.5,30.0,0.0,24.281,0,0.0,0.0,800.0,3.325,0
2.75,30.0,0.0,24.307,0,0.0,0.0,800.0,3.325,0
3.0,28.5,0.0,24.332,0,0.0,0.0,800.0,3.426,0
3.25,28.5,0.0,24.35,0,0.0,0.0,800.0,3.426,0
3.5,28.5,0.0,24.369,0,0.0,0.0,800.0,3.426,0
3.75,28.5,0.0,24.387,0,0.0,0.0,800.0,3.426,0
4.0,28.0,0.0,24.405,0,0.0,0.0,800.0,3.46,0
4.25,28.0,0.0,24.421,0,0.0,0.0,800.0,3.46,0
4.5,28.0,0.0,24.437,0,0.0,0.0,800.0,3.46,0
4.75,28.0,0.0,24.453,0,0.0,0.0,800.0,3.46,0
5.0,29.0,0.0,24.469,0,0.0,0.0,800.0,3.392,0
5.25,29.0,0.0,24.489,0,0.0,0.0,800.0,3.392,0
5.5,29.0,0.0,24.509,0,0.0,0.0,800.0,3.392,0
5.75,29.0,0.0,24.529,0,0.0,0.0,800.0,3.392,0
6.0,28.0,150.0,24.548,0,0.0,0.0,800.0,3.46,0
6.25,28.0,150.0,24.574,0,0.0,0.0,800.0,3.46,0
6.5,28.0,150.0,24.599,0,0.0,0.0,800.0,3.46,0
6.75,28.0,150.0,24.624,0,0.0,0.0,800.0,3.46,0
7.0,29.0,338.0,24.649,0,0.0,0.0,800.0,3.392,0
7.25,29.0,338.0,24.691,0,0.0,0.0,800.0,3.392,0
7.5,29.0,338.0,24.733,0,0.0,0.0,800.0,3.392,0
7.75,29.0,338.0,24.775,0,0.0,0.0,800.0,3.392,0
8.0,31.0,539.0,24.816,0,0.0,0.0,800.0,3.257,0
8.25,31.0,539.0,24.88,0,0.0,0.0,800.0,3.257,0
8.5,31.0,539.0,24.943,0,0.0,0.0,800.0,3.257,0
8.75,31.0,539.0,25.006,0,0.0,0.0,800.0,3.257,0
9.0,34.0,714.0,25.069,0,0.0,0.0,800.0,3.055,0
9.25,34.0,714.0,25.156,0,0.0,0.0,800.0,3.055,0
9.5,34.0,714.0,25.244,0,0.0,0.0,800.0,3.055,0
