hour,t_out_c,ghi_w_m2,t_zone_c,u_hvac,kwh,cost_sar,e_cum_kwh,cop,violations
0.0,32.0,0.0,24.0,0,0.0,0.0,800.0,3.19,0
0.25,32.0,0.0,24.035,0,0.0,0.0,800.0,3.19,0
0.5,32.0,0.0,24.071,0,0.0,0.0,800.0,3.19,0
0.75,32.0,0.0,24.106,0,0.0,0.0,800.0,3.19,0
1.0,30.9,0.0,24.141,0,0.0,0.0,800.0,3.264,0
1.25,30.9,0.0,24.171,0,0.0,0.0,800.0,3.264,0
1.5,30.9,0.0,24.201,0,0.0,0.0,800.0,3.264,0
1.75,30.9,0.0,24.23,0,0.0,0.0,800.0,3.264,0
2.0,30.6,0.0,24.26,0,0.0,0.0,800.0,3.284,0
2.25,30.6,0.0,24.288,0,0.0,0.0,800.0,3.284,0
2.5,30.6,0.0,24.316,0,0.0,0.0,800.0,3.284,0
2.75,30.6,0.0,24.344,0,0.0,0.0,800.0,3.284,0
3.0,30.6,0.0,24.372,0,0.0,0.0,800.0,3.284,0
3.25,30.6,0.0,24.399,0,0.0,0.0,800.0,3.284,0
3.5,30.6,0.0,24.427,0,0.0,0.0,800.0,3.284,0
3.75,30.6,0.0,24.454,0,0.0,0.0,800.0,3.284,0
4.0,30.2,0.0,24.481,0,0.0,0.0,800.0,3.311,0
4.25,30.2,0.0,24.507,0,0.0,0.0,800.0,3.311,0
4.5,30.2,0.0,24.532,0,0.0,0.0,800.0,3.311,0
4.75,30.2,0.0,24.557,0,0.0,0.0,800.0,3.311,0
5.0,29.7,0.0,24.582,0,0.0,0.0,800.0,3.345,0
5.25,29.7,0.0,24.605,0,0.0,0.0,800.0,3.345,0
5.5,29.7,0.0,24.627,0,0.0,0.0,800.0,3.345,0
5.75,29.7,0.0,24.65,0,0.0,0.0,800.0,3.345,0
6.0,29.9,85.0,24.672,0,0.0,0.0,800.0,3.332,0
6.25,29.9,85.0,24.701,0,0.0,0.0,800.0,3.332,0
6.5,29.9,85.0,24.73,0,0.0,0.0,800.0,3.332,0
6.75,29.9,85.0,24.758,0,0.0,0.0,800.0,3.332,0
7.0,32.0,231.0,24.787,0,0.0,0.0,800.0,3.19,0
7.25,32.0,231.0,24.834,0,0.0,0.0,800.0,3.19,0
7.5,32.0,231.0,24.882,0,0.0,0.0,800.0,3.19,0
7.75,32.0,231.0,24.929,0,0.0,0.0,800.0,3.19,0
8.0,35.9,419.0,24.976,0,0.0,0.0,800.0,2.927,0
8.25,35.9,419.0,25.052,0,0.0,0.0,800.0,2.927,0
8.5,35.9,419.0,25.128,0,0.0,0.0,800.0,2.927,0
8.75,35.9,419.0,25.204,0,0.0,0.0,800.0,2.927,0
9.0,37.7,613.0,25.28,0,0.0,0.0,800.0,2.805,0
9.25,37.7,613.0,25.376,0,0.0,0.0,800.0,2.805,0
9.5,37.7,613.0,25.472,0,0.0,0.0,800.0,2.805,0
9.75,37.7,613.0,25.567,1,0.2037,0.1602,800.2,2.805,0
10.0,39.3,783.0,25.401,1,0.1949,0.0097,800.4,2.697,0
10.25,39.3,783.0,25.258,1,0.1949,0.0097,800.6,2.697,0
10.5,39.3,783.0,25.116,1,0.1949,0.0097,800.8,2.697,0
10.75,39.3,783.0,24.974,1,0.1949,0.0097,801.0,2.697,0
11.0,41.8,894.0,24.833,1,0.2018,0.0101,801.2,2.528,0
11.25,41.8,894.0,24.718,1,0.2018,0.0101,801.4,2.528,0
11.5,41.8,894.0,24.603,1,0.2018,0.0101,801.6,2.528,0
11.75,41.8,894.0,24.489,1,0.2018,0.0101,801.8,2.528,0
12.0,42.3,904.0,24.376,1,0.2033,0.0102,802.0,2.495,0
12.25,42.3,904.0,24.267,1,0.2033,0.0102,802.2,2.495,0
12.5,42.3,904.0,24.158,1,0.2033,0.0102,802.4,2.495,0
12.75,42.3,904.0,24.05,1,0.2033,0.0102,802.6,2.495,0
13.0,43.3,854.0,23.943,1,0.2064,0.0103,802.8,2.427,0
13.25,43.3,854.0,23.84,1,0.2064,0.0103,803.0,2.427,0
13.5,43.3,854.0,23.737,1,0.2064,0.0103,803.2,2.427,0
13.75,43.3,854.0,23.635,1,0.2064,0.0103,803.4,2.427,0
14.0,43.6,730.0,23.533,1,0.2074,0.0104,803.6,2.407,0
