day_of_year,t_min_c,t_mean_c,t_max_c,ghi_mean_w_m2,cdd_base_22
1,20.0,24.38,29.0,193.8,2.38
2,19.0,24.19,28.3,193.9,2.19
3,20.0,23.27,28.0,201.3,1.27
4,19.0,23.75,29.0,196.5,1.75
5,20.0,23.52,27.4,142.8,1.52
6,19.0,22.79,27.0,111.4,0.79
7,20.0,22.63,26.0,185.7,0.63
8,17.0,20.62,25.0,200.8,0
9,15.0,19.88,24.5,187.4,0
10,15.0,20.17,25.2,159.8,0
11,17.5,21.02,24.8,200.6,0
12,17.0,22.92,29.0,183.7,0.93
13,20.0,23.63,27.0,119.1,1.63
14,21.0,23.9,28.0,128.4,1.9
15,21.0,25.75,32.4,187.2,3.75
16,24.0,27.23,34.0,202.2,5.23
17,21.0,26.27,31.0,202.0,4.27
18,24.0,27.22,31.0,192.4,5.22
19,23.5,27.09,31.0,199.2,5.09
20,22.0,25.88,31.0,208.6,3.88
21,18.0,24.06,30.0,213.2,2.06
22,19.0,24.19,30.2,202.0,2.19
23,19.0,24.83,31.0,208.3,2.83
24,20.0,25.06,31.0,210.5,3.06
25,21.0,26.26,32.0,202.2,4.26
26,23.0,27.28,32.0,203.2,5.28
27,22.0,27.19,32.0,206.4,5.19
28,25.0,27.8,31.0,176.0,5.8
29,22.0,24.45,27.0,174.1,2.45
30,20.0,22.8,25.0,201.4,0.8
31,20.0,22.5,25.0,97.4,0.5
32,22.0,26.24,31.0,162.5,4.24
33,17.0,22.36,26.0,218.1,0.36
34,19.0,24.68,32.0,220.7,2.68
35,22.0,25.57,30.0,217.2,3.57
36,21.0,25.58,31.0,217.0,3.58
37,21.0,26.48,33.0,220.2,4.47
38,23.0,27.9,33.0,220.4,5.9
39,24.0,27.76,32.0,221.4,5.76
40,24.0,26.61,30.0,218.1,4.61
41,23.6,25.62,30.0,219.1,3.62
42,22.0,24.86,28.0,226.0,2.86
43,22.0,25.18,29.0,227.4,3.18
44,21.6,25.72,32.0,228.4,3.72
45,21.0,26.48,36.0,232.0,4.47
46,21.0,26.69,33.6,229.5,4.69
47,20.0,27.28,34.0,234.7,5.28
48,22.0,24.86,29.0,226.2,2.86
49,18.0,22.17,27.0,237.2,0.17
50,18.0,21.81,26.0,242.8,0
51,19.0,23.92,29.0,240.7,1.92
52,20.8,25.32,32.0,243.2,3.32
53,21.0,25.25,31.1,243.7,3.25
54,22.0,26.35,33.0,239.0,4.35
55,22.0,25.87,30.0,242.2,3.87
56,21.0,24.67,28.0,188.0,2.67
57,18.5,23.73,30.6,261.8,1.73
58,19.0,24.64,30.0,247.9,2.64
59,19.8,24.36,30.0,236.1,2.36
60,15.0,22.53,29.0,259.7,0.53
61,19.0,23.22,27.0,258.9,1.22
62,17.0,23.47,31.0,261.8,1.47
