day_of_year,t_min_c,t_mean_c,t_max_c,ghi_mean_w_m2,cdd_base_22
1,13.6,18.24,24.6,182.5,0
2,10.8,15.88,19.8,146.3,0
3,6.9,10.27,15.3,190.1,0
4,3.9,9.66,15.1,172.0,0
5,10.5,14.42,19.5,154.2,0
6,9.9,17.22,24.4,178.3,0
7,10.5,16.81,22.0,188.0,0
8,13.5,18.65,25.6,184.1,0
9,15.5,20.28,25.0,143.5,0
10,10.6,14.65,18.0,188.7,0
11,7.8,12.7,18.0,192.0,0
12,9.1,13.27,18.2,151.0,0
13,9.8,14.16,19.7,192.2,0
14,7.8,14.1,20.7,198.2,0
15,10.0,16.22,23.9,195.5,0
16,11.3,17.24,24.2,191.9,0
17,11.3,16.55,23.1,196.2,0
18,9.8,16.83,24.6,197.7,0
19,11.5,18.25,25.5,198.5,0
20,11.5,16.8,22.9,193.3,0
21,9.8,15.56,22.7,198.9,0
22,10.8,15.83,22.0,197.8,0
23,11.6,17.48,24.5,191.8,0
24,14.0,20.62,28.6,200.9,0
25,14.1,17.72,21.0,183.9,0
26,12.2,14.33,17.3,118.7,0
27,9.8,13.2,17.6,164.2,0
28,5.3,10.25,16.8,207.5,0
29,2.3,6.13,10.7,216.9,0
30,2.0,7.28,13.9,226.3,0
31,1.4,8.7,16.3,224.1,0
32,12.0,17.02,22.4,169.8,0
33,7.0,14.08,20.0,216.8,0
34,7.0,13.14,19.0,221.2,0
35,7.2,14.66,20.1,211.1,0
36,12.3,17.87,24.0,149.7,0
37,13.3,19.95,26.0,181.0,0
38,15.1,22.07,29.1,208.6,0.07
39,16.3,23.06,29.5,219.1,1.06
40,16.0,18.78,22.0,181.4,0
41,10.9,14.44,18.0,208.2,0
42,5.0,10.01,15.0,233.2,0
43,2.0,7.35,14.5,242.5,0
44,3.1,10.98,19.0,244.2,0
45,5.7,14.68,23.2,242.3,0
46,11.1,17.5,24.9,241.9,0
47,10.0,18.48,25.0,235.8,0
48,13.0,21.45,31.0,233.7,0
49,16.8,22.58,29.0,218.1,0.58
50,17.0,23.88,31.0,238.5,1.88
51,15.3,20.42,22.6,233.0,0
52,9.6,16.6,22.1,245.9,0
53,13.4,19.68,26.3,243.5,0
54,15.0,22.31,29.0,237.8,0.31
55,18.0,24.2,33.0,231.2,2.2
56,17.4,25.98,34.6,237.2,3.98
57,13.0,18.79,23.0,259.4,0
58,11.8,17.52,26.0,258.1,0
59,9.6,17.63,26.0,261.0,0
60,14.0,21.89,29.0,255.7,0
61,18.9,24.51,31.0,251.0,2.51
62,14.6,18.81,23.0,264.5,0
63,9.4,17.18,23.0,272.0,0
64,9.8,18.2,25.0,267.8,0
65,12.0,20.02,28.0,267.8,0
66,13.4,21.79,30.6,267.3,0
67,16.0,23.4,29.0,268.3,1.4
68,15.1,20.35,25.0,269.7,0
69,13.7,18.79,24.0,273.1,0
70,12.7,20.18,26.7,275.8,0
71,13.7,21.15,28.0,274.2,0
72,15.4,21.88,28.0,267.3,0
73,15.1,22.62,28.2,270.9,0.62
74,20.8,23.56,26.6,144.7,1.56
75,15.4,21.87,27.0,276.7,0
76,16.7,21.88,27.0,275.0,0
77,16.2,23.2,29.0,270.8,1.2
78,21.7,26.43,33.0,235.3,4.43
79,17.5,22.85,29.0,276.2,0.85
80,15.5,22.3,28.9,211.0,0.3
81,18.4,24.53,30.0,289.6,2.53
82,18.0,21.12,27.0,294.8,0
83,10.9,18.51,24.1,299.3,0
84,13.0,20.56,27.0,291.0,0
85,18.0,24.32,30.0,282.6,2.32
86,21.3,26.61,32.0,286.5,4.61
87,23.3,28.55,33.5,284.1,6.55
88,22.9,31.28,36.0,221.0,9.28
89,21.7,27.58,31.7,294.4,5.57
90,17.2,22.23,27.0,295.5,0.23
91,17.0,23.4,28.5,297.0,1.4
92,19.0,25.86,32.0,280.5,3.86
93,22.3,28.54,36.0,298.9,6.54
94,20.3,27.64,35.2,286.4,5.64
95,17.7,25.32,32.2,281.0,3.32
96,22.1,27.35,33.0,290.8,5.35
97,21.7,28.75,34.0,300.2,6.75
98,23.0,29.9,37.0,280.7,7.9
99,25.5,32.16,38.0,297.5,10.16
100,27.0,34.17,40.0,304.8,12.17
101,32.0,35.21,39.0,290.3,13.21
102,27.0,30.21,34.0,282.6,8.21
103,21.0,24.64,27.5,218.8,2.64
104,19.2,21.99,25.0,249.3,0
105,18.1,23.58,29.0,305.4,1.58
106,21.0,23.67,29.0,244.0,1.67
107,20.0,24.19,28.0,289.5,2.19
108,20.3,26.05,31.0,278.6,4.05
109,22.0,27.19,34.0,248.0,5.19
110,21.0,26.42,31.0,289.3,4.42
111,18.0,25.59,29.0,156.6,3.59
112,18.0,22.61,28.0,225.0,0.61
113,16.0,25.38,33.0,287.2,3.38
114,18.8,29.57,36.0,308.2,7.57
115,28.0,33.43,38.5,296.7,11.43
116,24.5,33.16,39.0,286.7,11.16
117,28.4,32.63,37.0,321.5,10.63
118,22.8,27.75,32.0,324.3,5.75
119,21.2,28.85,35.5,296.9,6.85
120,25.2,30.98,38.0,287.1,8.97
121,22.1,26.5,33.0,264.2,4.5
122,23.0,29.01,35.0,326.8,7.01
123,26.0,31.56,37.0,270.3,9.56
124,26.0,32.54,39.0,312.1,10.54
125,26.9,32.91,39.0,327.1,10.91
126,27.0,35.12,41.0,324.9,13.12
127,29.0,34.58,40.0,321.8,12.58
128,28.0,32.8,37.0,296.5,10.8
129,29.0,34.1,39.0,264.5,12.1
130,26.0,32.33,40.0,238.2,10.33
131,25.0,30.42,36.0,269.0,8.42
132,25.0,31.73,38.0,313.1,9.73
133,28.0,34.47,40.8,293.1,12.47
134,29.0,33.67,39.4,329.9,11.67
135,26.0,32.93,39.0,335.2,10.93
136,28.0,33.2,37.0,337.5,11.2
137,30.0,34.98,40.0,330.9,12.98
138,30.0,36.07,41.0,332.6,14.07
139,29.0,35.54,41.0,337.8,13.54
140,28.0,35.87,41.0,337.8,13.87
141,29.5,33.6,38.0,333.3,11.6
142,27.6,31.78,36.0,333.8,9.78
143,23.6,32.52,39.2,335.4,10.52
144,26.0,35.45,43.0,335.5,13.45
145,26.5,36.22,43.0,334.9,14.22
146,27.0,31.1,35.0,329.6,9.1
147,27.9,32.57,37.0,329.0,10.57
148,29.0,35.14,40.0,320.5,13.14
149,31.0,37.16,42.0,327.5,15.16
150,30.7,37.19,42.7,327.7,15.19
151,31.9,37.15,42.0,326.5,15.15
152,28.8,37.49,45.1,323.2,15.49
153,30.0,38.27,44.2,314.8,16.27
154,31.0,37.65,44.0,320.0,15.65
155,31.0,36.21,42.0,323.0,14.21
156,31.0,36.42,43.0,318.5,14.42
157,30.4,37.73,45.0,322.5,15.73
158,30.7,38.54,44.0,320.4,16.54
159,31.0,38.6,44.0,321.9,16.6
160,31.8,38.76,44.0,317.1,16.76
161,32.6,37.53,43.0,319.6,15.53
162,30.0,36.43,43.6,321.5,14.43
163,28.7,36.07,42.0,319.9,14.07
164,31.7,36.1,42.0,319.9,14.1
165,29.2,35.48,43.0,319.5,13.48
166,27.6,33.8,41.0,320.3,11.8
167,27.0,34.33,40.4,325.0,12.33
168,30.0,36.19,41.6,323.7,14.19
169,32.4,36.86,41.4,322.4,14.86
170,31.0,37.1,43.0,320.6,15.1
171,29.0,37.44,45.0,318.5,15.44
172,32.0,37.68,45.0,316.7,15.68
173,31.0,36.91,44.0,317.2,14.91
174,31.0,36.39,42.0,326.6,14.39
175,29.0,35.66,42.0,327.0,13.66
